,jurisdiction,state_population,violent_crime_total,murder_manslaughter,rape_legacy,rape_revised,robbery,agg_assault,property_crime_total,burglary,larceny,incarcerated_total,incarcerated_white,incarcerated_black,incarcerated_hispanic,incarcerated_amerind,incarcerated_asian,incarcerated_other,incarcerated_unknown,incarcerated_nonwhite,Year
0,Alaska,"633,630","3,735",39,501,,514,"2,681","23,160","3,847","16,695",21761.74157303371,8992.38202247191,9620.792207792209,522.1724137931035,363.24615384615385,132.3015873015873,263.75,9.235294117647058,12769.359550561798,2001
1,Arizona,"5,306,966","28,675",400,"1,518",,"8,868","17,889","293,874","54,821","186,850",21761.74157303371,8992.38202247191,9620.792207792209,522.1724137931035,363.24615384615385,132.3015873015873,263.75,9.235294117647058,12769.359550561798,2001
2,Alabama,"4,468,912","19,582",379,"1,369",,"5,584","12,250","173,253","40,642","119,992",21761.74157303371,8992.38202247191,9620.792207792209,522.1724137931035,363.24615384615385,132.3015873015873,263.75,9.235294117647058,12769.359550561798,2001
3,Arkansas,"2,694,698","12,190",148,892,,"2,181","8,969","99,106","22,196","69,590",21761.74157303371,8992.38202247191,9620.792207792209,522.1724137931035,363.24615384615385,132.3015873015873,263.75,9.235294117647058,12769.359550561798,2001
4,California,"34,600,463","212,867","2,206","9,960",,"64,614","136,087","1,134,189","232,273","697,739",21761.74157303371,8992.38202247191,9620.792207792209,522.1724137931035,363.24615384615385,132.3015873015873,263.75,9.235294117647058,12769.359550561798,2001
5,Colorado,"4,430,989","15,492",158,"1,930",,"3,555","9,849","170,887","28,533","121,360",21761.74157303371,8992.38202247191,9620.792207792209,522.1724137931035,363.24615384615385,132.3015873015873,263.75,9.235294117647058,12769.359550561798,2001
6,Connecticut,"3,434,602","11,492",105,639,,"4,183","6,565","95,299","17,159","65,762",21761.74157303371,8992.38202247191,9620.792207792209,522.1724137931035,363.24615384615385,132.3015873015873,263.75,9.235294117647058,12769.359550561798,2001
7,Delaware,"796,599","4,868",23,420,,"1,156","3,269","27,399","5,144","19,476",21761.74157303371,8992.38202247191,9620.792207792209,522.1724137931035,363.24615384615385,132.3015873015873,263.75,9.235294117647058,12769.359550561798,2001
8,DC,"573,822","9,195",231,181,,"3,780","5,003","35,232","4,949","22,313",21761.74157303371,8992.38202247191,9620.792207792209,522.1724137931035,363.24615384615385,132.3015873015873,263.75,9.235294117647058,12769.359550561798,2001
9,Florida,"16,373,330","130,713",874,"6,641",,"32,867","90,331","782,517","176,052","516,548",21761.74157303371,8992.38202247191,9620.792207792209,522.1724137931035,363.24615384615385,132.3015873015873,263.75,9.235294117647058,12769.359550561798,2001
10,Georgia,"8,405,677","41,671",598,"2,180",,"14,402","24,491","347,872","71,799","238,484",21761.74157303371,8992.38202247191,9620.792207792209,522.1724137931035,363.24615384615385,132.3015873015873,263.75,9.235294117647058,12769.359550561798,2001
11,Hawaii,"1,227,024","3,117",32,409,,"1,142","1,534","62,830","11,162","44,925",21761.74157303371,8992.38202247191,9620.792207792209,522.1724137931035,363.24615384615385,132.3015873015873,263.75,9.235294117647058,12769.359550561798,2001
12,Idaho,"1,320,585","3,211",30,425,,245,"2,511","38,181","7,507","28,285",21761.74157303371,8992.38202247191,9620.792207792209,522.1724137931035,363.24615384615385,132.3015873015873,263.75,9.235294117647058,12769.359550561798,2001
13,Illinois,"12,520,227","79,270",982,"4,010",,"24,931","49,347","434,648","79,158","306,757",21761.74157303371,8992.38202247191,9620.792207792209,522.1724137931035,363.24615384615385,132.3015873015873,263.75,9.235294117647058,12769.359550561798,2001
14,Indiana,"6,126,743","22,734",413,"1,716",,"7,171","13,434","211,548","42,758","147,291",21761.74157303371,8992.38202247191,9620.792207792209,522.1724137931035,363.24615384615385,132.3015873015873,263.75,9.235294117647058,12769.359550561798,2001
15,Iowa,"2,931,967","7,865",50,649,,"1,154","6,012","88,634","16,885","66,244",21761.74157303371,8992.38202247191,9620.792207792209,522.1724137931035,363.24615384615385,132.3015873015873,263.75,9.235294117647058,12769.359550561798,2001
16,Kansas,"2,702,125","10,909",92,945,,"2,423","7,449","105,537","20,514","77,038",21761.74157303371,8992.38202247191,9620.792207792209,522.1724137931035,363.24615384615385,132.3015873015873,263.75,9.235294117647058,12769.359550561798,2001
17,Kentucky,"4,068,816","10,510",181,"1,051",,"3,269","6,009","107,356","26,964","71,448",21761.74157303371,8992.38202247191,9620.792207792209,522.1724137931035,363.24615384615385,132.3015873015873,263.75,9.235294117647058,12769.359550561798,2001
18,Louisiana,"4,470,368","30,678",501,"1,403",,"7,864","20,910","207,693","46,451","139,555",21761.74157303371,8992.38202247191,9620.792207792209,522.1724137931035,363.24615384615385,132.3015873015873,263.75,9.235294117647058,12769.359550561798,2001
19,Maine,"1,284,470","1,435",19,326,,264,826,"33,154","6,898","24,585",21761.74157303371,8992.38202247191,9620.792207792209,522.1724137931035,363.24615384615385,132.3015873015873,263.75,9.235294117647058,12769.359550561798,2001
20,Maryland,"5,386,079","42,088",446,"1,449",,"13,525","26,668","219,512","41,553","145,934",21761.74157303371,8992.38202247191,9620.792207792209,522.1724137931035,363.24615384615385,132.3015873015873,263.75,9.235294117647058,12769.359550561798,2001
21,Massachusetts,"6,401,164","30,585",143,"1,856",,"6,476","22,110","167,079","32,430","106,821",21761.74157303371,8992.38202247191,9620.792207792209,522.1724137931035,363.24615384615385,132.3015873015873,263.75,9.235294117647058,12769.359550561798,2001
22,Michigan,"10,006,266","55,424",672,"5,264",,"12,937","36,551","352,353","72,038","226,708",21761.74157303371,8992.38202247191,9620.792207792209,522.1724137931035,363.24615384615385,132.3015873015873,263.75,9.235294117647058,12769.359550561798,2001
23,Minnesota,"4,984,535","13,145",119,"2,236",,"3,758","7,032","165,046","25,496","124,519",21761.74157303371,8992.38202247191,9620.792207792209,522.1724137931035,363.24615384615385,132.3015873015873,263.75,9.235294117647058,12769.359550561798,2001
24,Mississippi,"2,859,733","10,006",282,"1,147",,"3,294","5,283","109,609","29,821","70,315",21761.74157303371,8992.38202247191,9620.792207792209,522.1724137931035,363.24615384615385,132.3015873015873,263.75,9.235294117647058,12769.359550561798,2001
25,Missouri,"5,637,309","30,472",372,"1,383",,"7,771","20,946","238,411","42,977","167,420",21761.74157303371,8992.38202247191,9620.792207792209,522.1724137931035,363.24615384615385,132.3015873015873,263.75,9.235294117647058,12769.359550561798,2001
26,Montana,"905,382","3,187",34,188,,230,"2,735","30,175","3,670","24,684",21761.74157303371,8992.38202247191,9620.792207792209,522.1724137931035,363.24615384615385,132.3015873015873,263.75,9.235294117647058,12769.359550561798,2001
27,Nebraska,"1,720,039","5,214",43,431,,"1,128","3,612","68,963","9,760","52,713",21761.74157303371,8992.38202247191,9620.792207792209,522.1724137931035,363.24615384615385,132.3015873015873,263.75,9.235294117647058,12769.359550561798,2001
28,Nevada,"2,097,722","12,359",180,883,,"4,932","6,364","77,486","17,711","45,073",21761.74157303371,8992.38202247191,9620.792207792209,522.1724137931035,363.24615384615385,132.3015873015873,263.75,9.235294117647058,12769.359550561798,2001
29,New Hampshire,"1,259,359","2,144",17,458,,445,"1,224","27,089","4,889","20,060",21761.74157303371,8992.38202247191,9620.792207792209,522.1724137931035,363.24615384615385,132.3015873015873,263.75,9.235294117647058,12769.359550561798,2001
30,New Jersey,"8,511,116","33,094",336,"1,278",,"14,110","17,370","240,551","46,812","156,031",21761.74157303371,8992.38202247191,9620.792207792209,522.1724137931035,363.24615384615385,132.3015873015873,263.75,9.235294117647058,12769.359550561798,2001
31,New Mexico,"1,830,935","14,288",99,850,,"2,695","10,644","83,095","19,552","56,406",21761.74157303371,8992.38202247191,9620.792207792209,522.1724137931035,363.24615384615385,132.3015873015873,263.75,9.235294117647058,12769.359550561798,2001
32,New York,"19,084,350","98,022",960,"3,546",,"36,555","56,961","458,003","80,400","329,316",21761.74157303371,8992.38202247191,9620.792207792209,522.1724137931035,363.24615384615385,132.3015873015873,263.75,9.235294117647058,12769.359550561798,2001
33,North Carolina,"8,206,105","40,465",505,"2,083",,"13,304","24,573","363,777","101,889","237,241",21761.74157303371,8992.38202247191,9620.792207792209,522.1724137931035,363.24615384615385,132.3015873015873,263.75,9.235294117647058,12769.359550561798,2001
34,North Dakota,"636,550",505,7,164,,60,274,"14,834","2,165","11,583",21761.74157303371,8992.38202247191,9620.792207792209,522.1724137931035,363.24615384615385,132.3015873015873,263.75,9.235294117647058,12769.359550561798,2001
35,Ohio,"11,389,785","40,023",452,"4,466",,"17,199","17,906","435,115","96,910","295,976",21761.74157303371,8992.38202247191,9620.792207792209,522.1724137931035,363.24615384615385,132.3015873015873,263.75,9.235294117647058,12769.359550561798,2001
36,Oklahoma,"3,469,577","17,726",185,"1,486",,"2,746","13,309","141,679","34,573","94,537",21761.74157303371,8992.38202247191,9620.792207792209,522.1724137931035,363.24615384615385,132.3015873015873,263.75,9.235294117647058,12769.359550561798,2001
37,Oregon,"3,473,441","10,650",84,"1,174",,"2,749","6,643","164,524","26,648","123,034",21761.74157303371,8992.38202247191,9620.792207792209,522.1724137931035,363.24615384615385,132.3015873015873,263.75,9.235294117647058,12769.359550561798,2001
